{\rtf1\ansi\ansicpg1252\cocoartf2709
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 Transcript: source that Ryan was going in SpaceX saying that SpaceX discriminated against Asylum Seekers I would like but we're like but it's illegal for us to hire anyone who's not a permanent resident so it would ruin this like this why me it's like oh well oh well situation is getting insane like you're down if you do and you're damned if you don't so damned imagine history looking back up at when you watch the robot arms catch the rocket and you realize like this is like one of the greatest accomplishments in the history of Aerospace\
Word: source, start: 0.0, end: 0.6\
Word: that, start: 0.6, end: 0.7\
Word: Ryan, start: 0.7, end: 0.9\
Word: was, start: 0.9, end: 1.1\
Word: going, start: 1.1, end: 1.1\
Word: in, start: 1.1, end: 1.4\
Word: SpaceX, start: 1.4, end: 1.5\
Word: saying, start: 1.5, end: 3.2\
Word: that, start: 3.2, end: 3.4\
Word: SpaceX, start: 3.4, end: 4.0\
Word: discriminated, start: 4.0, end: 5.5\
Word: against, start: 5.5, end: 5.8\
Word: Asylum, start: 5.8, end: 6.2\
Word: Seekers, start: 6.2, end: 6.5\
Word: I, start: 6.5, end: 7.2\
Word: would, start: 7.2, end: 7.3\
Word: like, start: 7.3, end: 7.5\
Word: but, start: 7.5, end: 7.7\
Word: we're, start: 7.7, end: 8.0\
Word: like, start: 8.0, end: 8.1\
Word: but, start: 8.1, end: 8.4\
Word: it's, start: 8.4, end: 8.6\
Word: illegal, start: 8.6, end: 8.8\
Word: for, start: 8.8, end: 9.1\
Word: us, start: 9.1, end: 9.2\
Word: to, start: 9.2, end: 9.3\
Word: hire, start: 9.3, end: 9.6\
Word: anyone, start: 9.6, end: 9.8\
Word: who's, start: 9.8, end: 10.0\
Word: not, start: 10.0, end: 10.1\
Word: a, start: 10.1, end: 10.2\
Word: permanent, start: 10.2, end: 10.3\
Word: resident, start: 10.3, end: 10.7\
Word: so, start: 10.7, end: 11.5\
Word: it, start: 11.5, end: 12.3\
Word: would, start: 12.3, end: 12.4\
Word: ruin, start: 12.4, end: 12.6\
Word: this, start: 12.6, end: 12.8\
Word: like, start: 12.8, end: 13.1\
Word: this, start: 13.1, end: 13.2\
Word: why, start: 13.2, end: 13.3\
Word: me, start: 13.3, end: 13.5\
Word: it's, start: 13.5, end: 13.6\
Word: like, start: 13.6, end: 13.7\
Word: oh, start: 13.7, end: 14.2\
Word: well, start: 14.2, end: 14.5\
Word: oh, start: 14.5, end: 15.1\
Word: well, start: 15.1, end: 15.2\
Word: situation, start: 15.2, end: 15.7\
Word: is, start: 15.7, end: 15.8\
Word: getting, start: 15.8, end: 15.9\
Word: insane, start: 15.9, end: 16.3\
Word: like, start: 16.3, end: 17.1\
Word: you're, start: 17.1, end: 18.0\
Word: down, start: 18.0, end: 18.2\
Word: if, start: 18.2, end: 18.3\
Word: you, start: 18.3, end: 18.4\
Word: do, start: 18.4, end: 18.6\
Word: and, start: 18.6, end: 19.0\
Word: you're, start: 19.0, end: 19.1\
Word: damned, start: 19.1, end: 19.3\
Word: if, start: 19.3, end: 19.4\
Word: you, start: 19.4, end: 19.5\
Word: don't, start: 19.5, end: 19.7\
Word: so, start: 19.7, end: 20.8\
Word: damned, start: 20.8, end: 21.2\
Word: imagine, start: 21.2, end: 22.1\
Word: history, start: 22.1, end: 22.5\
Word: looking, start: 22.5, end: 23.1\
Word: back, start: 23.1, end: 23.6\
Word: up, start: 23.6, end: 23.7\
Word: at, start: 23.7, end: 24.5\
Word: when, start: 24.5, end: 25.3\
Word: you, start: 25.3, end: 25.5\
Word: watch, start: 25.5, end: 25.9\
Word: the, start: 25.9, end: 26.4\
Word: robot, start: 26.4, end: 26.9\
Word: arms, start: 26.9, end: 27.2\
Word: catch, start: 27.2, end: 27.5\
Word: the, start: 27.5, end: 27.7\
Word: rocket, start: 27.7, end: 28.2\
Word: and, start: 28.2, end: 28.6\
Word: you, start: 28.6, end: 28.7\
Word: realize, start: 28.7, end: 29.2\
Word: like, start: 29.2, end: 29.4\
Word: this, start: 29.4, end: 29.6\
Word: is, start: 29.6, end: 29.7\
Word: like, start: 29.7, end: 29.8\
Word: one, start: 29.8, end: 30.0\
Word: of, start: 30.0, end: 30.1\
Word: the, start: 30.1, end: 30.1\
Word: greatest, start: 30.1, end: 30.6\
Word: accomplishments, start: 30.6, end: 30.9\
Word: in, start: 30.9, end: 31.7\
Word: the, start: 31.7, end: 32.4\
Word: history, start: 32.4, end: 33.0\
Word: of, start: 33.0, end: 33.1\
Word: Aerospace, start: 33.1, end: 33.6}
