9.614-9.773: hello
10.092-10.332: everyone
13.603-14.001: welcome
18.327-18.807: welcome
18.807-19.126: to
19.126-19.365: the
19.365-19.525: team
19.685-20.084: america
20.084-20.403: rally
25.114-25.614: so
27.988-28.308: and
30.078-30.476: l
30.476-30.635: too
39.874-40.033: alright
40.272-40.670: so
40.989-41.227: let's
41.227-41.387: see
42.502-42.661: what
42.661-42.741: should
42.900-43.139: i
43.139-43.298: say
45.463-45.941: spacex
45.941-46.179: does
46.179-46.418: rock
52.863-53.102: indeed
54.455-54.694: actually
54.853-55.012: i'm
55.171-55.251: i
55.569-55.648: i'm
55.648-55.887: pretty
55.887-56.126: excited
56.126-56.285: about
56.285-56.524: the
56.524-57.001: possibility
57.001-57.160: of
57.319-57.479: yeah
58.608-59.006: spacex
59.483-59.563: you
59.563-59.722: know
59.881-60.120: and
60.120-60.279: and
60.279-60.517: just
60.517-60.836: generally
61.472-61.631: becoming
61.631-61.870: a
61.870-62.029: space
62.029-62.529: faring
62.666-63.166: civilization
64.098-64.576: going
64.576-65.076: beyond
65.212-65.371: where
65.371-65.531: we
65.531-65.928: went
65.928-66.008: in
66.008-66.247: the
66.247-66.645: past
66.645-66.963: with
66.963-67.463: the
67.759-67.918: where
67.918-67.997: we
67.997-68.077: went
68.077-68.156: to
68.156-68.316: the
68.316-68.475: moon
68.873-69.111: it's
69.111-69.350: it's
69.350-69.668: crazy
69.668-69.907: that
69.907-70.066: we
70.066-70.146: went
70.146-70.225: to
70.225-70.384: the
70.384-70.623: moon
72.151-72.470: over
72.470-72.869: fifty
72.869-73.108: years
73.108-73.427: ago
73.427-73.666: was
73.666-73.984: last
73.984-74.144: time
74.861-75.361: any
75.499-75.738: anyone
75.738-75.977: went
75.977-76.295: to
76.295-76.375: to
76.375-76.535: the
76.535-76.774: moon
77.092-77.331: and
77.491-77.650: a
77.650-77.730: lot
77.730-77.810: of
77.810-78.049: people
78.049-78.208: think
78.208-78.447: we
78.447-78.607: we
78.607-78.766: didn't
78.766-78.846: go
78.846-78.925: to
78.925-79.005: the
79.005-79.085: moon
79.244-79.643: but
79.643-79.802: we
79.802-79.961: did
80.519-80.679: we
80.679-80.838: did
84.026-84.105: yeah
84.265-84.344: the
84.504-84.902: soviets
84.902-84.982: would
84.982-85.062: have
85.062-85.221: called
85.221-85.380: us
85.380-85.619: out
85.619-85.779: on
85.779-85.938: that
85.938-86.177: one
86.177-86.677: if
86.910-87.069: we
87.069-87.469: hadn't
87.469-87.708: gone
87.708-87.788: them
88.107-88.187: were
88.267-88.347: like
88.666-88.826: they
88.826-89.065: would
89.065-89.465: called
89.465-89.624: they
89.624-89.704: would
89.704-89.784: have
89.784-90.103: cold
90.103-90.263: bullshit
90.263-90.423: on
90.423-90.662: that
90.662-90.742: one
91.620-91.860: a
91.860-92.179: hundred
92.179-92.339: percent
94.175-94.415: but
96.331-96.491: yeah
96.650-96.730: yeah
96.970-97.129: we
97.129-97.209: need
97.209-97.289: to
97.289-97.449: go
97.449-97.529: back
97.529-97.688: to
97.688-98.188: we
98.247-98.327: we
98.327-98.646: should
98.646-98.806: not
98.806-98.966: just
98.966-99.125: go
99.125-99.205: back
99.205-99.365: to
99.365-99.445: me
99.525-99.764: we
99.764-99.924: which
99.924-100.084: we
100.084-100.243: should
100.243-100.563: have
100.563-100.802: a
100.802-101.201: moon
101.201-101.521: base
102.733-102.893: you
102.893-103.053: know
104.090-104.250: like
104.570-104.889: moon
104.889-105.208: based
105.208-105.528: alpha
105.687-105.767: you
105.767-105.927: know
106.086-106.166: like
106.406-106.805: an
106.805-107.124: actual
107.124-107.364: base
